sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.436239;-3.95716e-07;-2.45655e-07;1.50061e-07
-0.437313;-3.95935e-07;-2.46092e-07;1.49843e-07
-0.438388;-3.9571699999999997e-07;-2.45873e-07;1.49843e-07
-0.43946199999999996;-3.95498e-07;-2.45436e-07;1.50061e-07
-0.44053699999999996;-3.96154e-07;-2.45873e-07;1.5028e-07
-0.441611;-3.95935e-07;-2.45655e-07;1.5028e-07
-0.44268599999999997;-3.9637299999999997e-07;-2.45873e-07;1.50499e-07
-0.44376;-3.95935e-07;-2.45436e-07;1.50499e-07
-0.444835;-3.95716e-07;-2.45217e-07;1.50499e-07
-0.445909;-3.95935e-07;-2.45217e-07;1.50718e-07
-0.446984;-3.95279e-07;-2.44342e-07;1.50936e-07
-0.44805799999999996;-3.95498e-07;-2.44561e-07;1.50936e-07
-0.449133;-3.95935e-07;-2.4478e-07;1.51155e-07
-0.45020699999999997;-3.95279e-07;-2.44123e-07;1.51155e-07
-0.45128199999999996;-3.95279e-07;-2.43467e-07;1.51811e-07
-0.452356;-3.94841e-07;-2.43467e-07;1.51374e-07
-0.45343;-3.9506e-07;-2.43905e-07;1.51155e-07
-0.454505;-3.94404e-07;-2.43248e-07;1.51155e-07
-0.45557899999999996;-3.94404e-07;-2.43467e-07;1.50936e-07
-0.456654;-3.93529e-07;-2.43467e-07;1.50061e-07
-0.45772799999999997;-3.93529e-07;-2.43686e-07;1.49843e-07
-0.45880299999999996;-3.92654e-07;-2.43467e-07;1.49186e-07
-0.459877;-3.92435e-07;-2.43467e-07;1.48968e-07
-0.460952;-3.92435e-07;-2.43686e-07;1.48749e-07
-0.462026;-3.92435e-07;-2.44342e-07;1.48093e-07
-0.463101;-3.91779e-07;-2.44123e-07;1.47655e-07
-0.464175;-3.92435e-07;-2.45436e-07;1.46999e-07
-0.46525;-3.91779e-07;-2.45217e-07;1.4656099999999998e-07
-0.46632399999999996;-3.91779e-07;-2.45655e-07;1.46124e-07
-0.46739899999999995;-3.91779e-07;-2.46092e-07;1.45686e-07
-0.468473;-3.92435e-07;-2.4652999999999997e-07;1.45905e-07
-0.46954799999999997;-3.92216e-07;-2.46311e-07;1.45905e-07
-0.470622;-3.92654e-07;-2.46967e-07;1.45686e-07
-0.471697;-3.93092e-07;-2.46967e-07;1.46124e-07
-0.472771;-3.91998e-07;-2.46311e-07;1.45686e-07
-0.473846;-3.91998e-07;-2.46092e-07;1.45905e-07
-0.47491999999999995;-3.92654e-07;-2.46311e-07;1.46343e-07
-0.475995;-3.93091e-07;-2.4652999999999997e-07;1.4656099999999998e-07
-0.47706899999999997;-3.9330999999999997e-07;-2.4652999999999997e-07;1.4678e-07
-0.47814399999999996;-3.9330999999999997e-07;-2.46092e-07;1.47218e-07
-0.479218;-3.93748e-07;-2.46092e-07;1.47655e-07
-0.48029299999999997;-3.9330999999999997e-07;-2.45655e-07;1.47655e-07
-0.481367;-3.93092e-07;-2.45436e-07;1.47655e-07
-0.48244099999999995;-3.93092e-07;-2.45436e-07;1.47655e-07
-0.483516;-3.92654e-07;-2.45217e-07;1.47436e-07
-0.48458999999999997;-3.9330999999999997e-07;-2.45436e-07;1.47874e-07
-0.48566499999999996;-3.92873e-07;-2.45217e-07;1.47655e-07
-0.486739;-3.92654e-07;-2.45436e-07;1.47218e-07
-0.48781399999999997;-3.93091e-07;-2.46092e-07;1.46999e-07
-0.488888;-3.92216e-07;-2.45655e-07;1.4656099999999998e-07
-0.489963;-3.92435e-07;-2.45873e-07;1.4656099999999998e-07
-0.491037;-3.92216e-07;-2.46311e-07;1.45905e-07
-0.492112;-3.91998e-07;-2.4652999999999997e-07;1.45468e-07
-0.49318599999999996;-3.9156e-07;-2.4652999999999997e-07;1.4503e-07
-0.49426099999999995;-3.91123e-07;-2.4652999999999997e-07;1.44593e-07
-0.49533499999999997;-3.90904e-07;-2.4652999999999997e-07;1.44374e-07
-0.49640999999999996;-3.91342e-07;-2.47186e-07;1.44155e-07
-0.497484;-3.9156e-07;-2.47623e-07;1.43936e-07
-0.498559;-3.9156e-07;-2.4828e-07;1.4328e-07
-0.499633;-3.9156e-07;-2.48498e-07;1.4306099999999999e-07
-0.5007079999999999;-3.9156e-07;-2.48717e-07;1.42843e-07
-0.501782;-3.91342e-07;-2.48936e-07;1.42405e-07
-0.502857;-3.91779e-07;-2.49373e-07;1.42405e-07
-0.503931;-3.91342e-07;-2.49155e-07;1.42186e-07
-0.505006;-3.92216e-07;-2.49373e-07;1.42843e-07
-0.50608;-3.92435e-07;-2.49373e-07;1.4306099999999999e-07
-0.507155;-3.93091e-07;-2.49155e-07;1.43936e-07
-0.5082289999999999;-3.9330999999999997e-07;-2.49373e-07;1.43936e-07
-0.509304;-3.93091e-07;-2.49155e-07;1.43936e-07
-0.510378;-3.93529e-07;-2.49155e-07;1.44374e-07
-0.511452;-3.93748e-07;-2.49373e-07;1.44374e-07
-0.512527;-3.93748e-07;-2.49373e-07;1.44374e-07
-0.513601;-3.94185e-07;-2.49373e-07;1.4481099999999999e-07
-0.514676;-3.93748e-07;-2.48936e-07;1.4481099999999999e-07
-0.5157499999999999;-3.94404e-07;-2.49373e-07;1.4503e-07
-0.516825;-3.94185e-07;-2.49373e-07;1.4481099999999999e-07
-0.517899;-3.94185e-07;-2.49592e-07;1.44593e-07
-0.5189739999999999;-3.94404e-07;-2.49811e-07;1.44593e-07
-0.520048;-3.94185e-07;-2.50248e-07;1.43936e-07
-0.521123;-3.9396599999999997e-07;-2.50467e-07;1.43499e-07
-0.522197;-3.94185e-07;-2.50905e-07;1.4328e-07
-0.523272;-3.93748e-07;-2.5068599999999997e-07;1.4306099999999999e-07
-0.524346;-3.93748e-07;-2.50905e-07;1.42843e-07
